x,y
0,0
0.01,0.00707107
0.02,0.0141418
0.03,0.0212114
0.04,0.0282793
0.05,0.0353447
0.06,0.042407
0.07,0.0494653
0.08,0.056519
0.09,0.0635675
0.1,0.0706099
0.11,0.0776457
0.12,0.084674
0.13,0.0916941
0.14,0.0987055
0.15,0.105707
0.16,0.112699
0.17,0.11968
0.18,0.126649
0.19,0.133605
0.2,0.140549
0.21,0.147479
0.22,0.154395
0.23,0.161295
0.24,0.16818
0.25,0.175048
0.26,0.181899
0.27,0.188732
0.28,0.195547
0.29,0.202342
0.3,0.209117
0.31,0.215872
0.32,0.222605
0.33,0.229317
0.34,0.236006
0.35,0.242672
0.36,0.249313
0.37,0.25593
0.38,0.262522
0.39,0.269087
0.4,0.275626
0.41,0.282138
0.42,0.288622
0.43,0.295077
0.44,0.301503
0.45,0.307899
0.46,0.314265
0.47,0.320599
0.48,0.326902
0.49,0.333172
0.5,0.339409
0.51,0.345612
0.52,0.351781
0.53,0.357915
0.54,0.364013
0.55,0.370075
0.56,0.3761
0.57,0.382088
0.58,0.388038
0.59,0.393949
0.6,0.399821
0.61,0.405654
0.62,0.411445
0.63,0.417196
0.64,0.422905
0.65,0.428572
0.66,0.434197
0.67,0.439778
0.68,0.445315
0.69,0.450807
0.7,0.456255
0.71,0.461657
0.72,0.467013
0.73,0.472323
0.74,0.477585
0.75,0.482799
0.76,0.487966
0.77,0.493083
0.78,0.498151
0.79,0.50317
0.8,0.508138
0.81,0.513055
0.82,0.517921
0.83,0.522735
0.84,0.527497
0.85,0.532206
0.86,0.536862
0.87,0.541464
0.88,0.546012
0.89,0.550505
0.9,0.554942
0.91,0.559325
0.92,0.563651
0.93,0.56792
0.94,0.572133
0.95,0.576288
0.96,0.580386
0.97,0.584425
0.98,0.588406
0.99,0.592327
